Time,POMh,POMo,MOM,DOM,QOM,MBA,MBD
215.0,NaN,NaN,0.1350838431679049,NaN,NaN,NaN,NaN
216.0,NaN,NaN,0.1350935354617091,NaN,NaN,NaN,NaN
217.0,NaN,NaN,0.1351032277555133,NaN,NaN,NaN,NaN
218.0,NaN,NaN,0.13511292004931752,NaN,NaN,NaN,NaN
219.0,NaN,NaN,0.13512261234312173,NaN,NaN,NaN,NaN
220.0,NaN,NaN,0.13513230463692594,NaN,NaN,NaN,NaN
221.0,NaN,NaN,0.13514199693073015,NaN,NaN,NaN,NaN
222.0,NaN,NaN,0.13515168922453435,NaN,NaN,NaN,NaN
223.0,NaN,NaN,0.13516138151833856,NaN,NaN,NaN,NaN
224.0,NaN,NaN,0.13517107381214277,NaN,NaN,NaN,NaN
225.0,NaN,NaN,0.13518076610594698,NaN,NaN,NaN,NaN
226.0,NaN,NaN,0.1351904583997512,NaN,NaN,NaN,NaN
227.0,NaN,NaN,0.1352001506935554,NaN,NaN,NaN,NaN
228.0,NaN,NaN,0.1352098429873596,NaN,NaN,NaN,NaN
229.0,NaN,NaN,0.13521953528116382,NaN,NaN,NaN,NaN
230.0,NaN,NaN,0.13522922757496803,NaN,NaN,NaN,NaN
231.0,NaN,NaN,0.13523891986877223,NaN,NaN,NaN,NaN
232.0,NaN,NaN,0.13524861216257644,NaN,NaN,NaN,NaN
233.0,NaN,NaN,0.13525830445638065,NaN,NaN,NaN,NaN
234.0,NaN,NaN,0.13526799675018486,NaN,NaN,NaN,NaN
235.0,NaN,NaN,0.13527768904398907,NaN,NaN,NaN,NaN
236.0,NaN,NaN,0.13528738133779328,NaN,NaN,NaN,NaN
237.0,NaN,NaN,0.1352970736315975,NaN,NaN,NaN,NaN
238.0,NaN,NaN,0.1353067659254017,NaN,NaN,NaN,NaN
239.0,NaN,NaN,0.1353164582192059,NaN,NaN,NaN,NaN
240.0,NaN,NaN,0.1353261505130101,NaN,NaN,NaN,NaN
241.0,NaN,NaN,0.13533584280681432,NaN,NaN,NaN,NaN
242.0,NaN,NaN,0.13534553510061853,NaN,NaN,NaN,NaN
243.0,NaN,NaN,0.13535522739442274,NaN,NaN,NaN,NaN
244.0,NaN,NaN,0.13536491968822695,NaN,NaN,NaN,NaN
245.0,NaN,NaN,0.13537461198203116,NaN,NaN,NaN,NaN
246.0,NaN,NaN,0.13538430427583537,NaN,NaN,NaN,NaN
247.0,NaN,NaN,0.13539399656963957,NaN,NaN,NaN,NaN
248.0,NaN,NaN,0.13540368886344378,NaN,NaN,NaN,NaN
249.0,NaN,NaN,0.135413381157248,NaN,NaN,NaN,NaN
250.0,NaN,NaN,0.1354230734510522,NaN,NaN,NaN,NaN
251.0,NaN,NaN,0.1354327657448564,NaN,NaN,NaN,NaN
252.0,NaN,NaN,0.13544245803866062,NaN,NaN,NaN,NaN
253.0,NaN,NaN,0.13545215033246483,NaN,NaN,NaN,NaN
254.0,NaN,NaN,0.13546184262626904,NaN,NaN,NaN,NaN
255.0,NaN,NaN,0.13547153492007324,NaN,NaN,NaN,NaN
256.0,NaN,NaN,0.13548122721387745,NaN,NaN,NaN,NaN
257.0,NaN,NaN,0.13549091950768166,NaN,NaN,NaN,NaN
258.0,NaN,NaN,0.13550061180148587,NaN,NaN,NaN,NaN
259.0,NaN,NaN,0.13551030409529008,NaN,NaN,NaN,NaN
260.0,NaN,NaN,0.1355199963890943,NaN,NaN,NaN,NaN
261.0,NaN,NaN,0.1355296886828985,NaN,NaN,NaN,NaN
262.0,NaN,NaN,0.1355393809767027,NaN,NaN,NaN,NaN
263.0,NaN,NaN,0.13554907327050691,NaN,NaN,NaN,NaN
264.0,NaN,NaN,0.13555876556431112,NaN,NaN,NaN,NaN
265.0,NaN,NaN,0.13556845785811533,NaN,NaN,NaN,NaN
266.0,NaN,NaN,0.13557815015191954,NaN,NaN,NaN,NaN
267.0,NaN,NaN,0.13558784244572375,NaN,NaN,NaN,NaN
268.0,NaN,NaN,0.13559753473952796,NaN,NaN,NaN,NaN
269.0,NaN,NaN,0.13560722703333217,NaN,NaN,NaN,NaN
270.0,NaN,NaN,0.13561691932713638,NaN,NaN,NaN,NaN
271.0,NaN,NaN,0.13562661162094058,NaN,NaN,NaN,NaN
272.0,NaN,NaN,0.1356363039147448,NaN,NaN,NaN,NaN
273.0,NaN,NaN,0.135645996208549,NaN,NaN,NaN,NaN
274.0,NaN,NaN,0.1356556885023532,NaN,NaN,NaN,NaN
275.0,NaN,NaN,0.13566538079615742,NaN,NaN,NaN,NaN
276.0,NaN,NaN,0.13567507308996163,NaN,NaN,NaN,NaN
277.0,NaN,NaN,0.13568476538376584,NaN,NaN,NaN,NaN
278.0,NaN,NaN,0.13569445767757005,NaN,NaN,NaN,NaN
279.0,NaN,NaN,0.13570414997137425,NaN,NaN,NaN,NaN
280.0,NaN,NaN,0.13571384226517846,NaN,NaN,NaN,NaN
281.0,NaN,NaN,0.13572353455898267,NaN,NaN,NaN,NaN
282.0,NaN,NaN,0.13573322685278688,NaN,NaN,NaN,NaN
283.0,NaN,NaN,0.1357429191465911,NaN,NaN,NaN,NaN
284.0,NaN,NaN,0.1357526114403953,NaN,NaN,NaN,NaN
285.0,NaN,NaN,0.1357623037341995,NaN,NaN,NaN,NaN
286.0,NaN,NaN,0.13577199602800372,NaN,NaN,NaN,NaN
287.0,NaN,NaN,0.13578168832180793,NaN,NaN,NaN,NaN
288.0,NaN,NaN,0.13579138061561213,NaN,NaN,NaN,NaN
289.0,NaN,NaN,0.13580107290941634,NaN,NaN,NaN,NaN
290.0,NaN,NaN,0.13581076520322055,NaN,NaN,NaN,NaN
291.0,NaN,NaN,0.13582045749702476,NaN,NaN,NaN,NaN
292.0,NaN,NaN,0.13583014979082897,NaN,NaN,NaN,NaN
293.0,NaN,NaN,0.13583984208463318,NaN,NaN,NaN,NaN
294.0,NaN,NaN,0.1358495343784374,NaN,NaN,NaN,NaN
295.0,NaN,NaN,0.1358592266722416,NaN,NaN,NaN,NaN
296.0,NaN,NaN,0.1358689189660458,NaN,NaN,NaN,NaN
297.0,NaN,NaN,0.13587861125985,NaN,NaN,NaN,NaN
298.0,NaN,NaN,0.13588830355365422,NaN,NaN,NaN,NaN
299.0,NaN,NaN,0.13589799584745843,NaN,NaN,NaN,NaN
300.0,NaN,NaN,0.13590768814126264,NaN,NaN,NaN,NaN
301.0,NaN,NaN,0.13591738043506685,NaN,NaN,NaN,NaN
302.0,NaN,NaN,0.13592707272887106,NaN,NaN,NaN,NaN
303.0,NaN,NaN,0.13593676502267527,NaN,NaN,NaN,NaN
304.0,NaN,NaN,0.13594645731647947,NaN,NaN,NaN,NaN
305.0,NaN,NaN,0.13595614961028368,NaN,NaN,NaN,NaN
306.0,NaN,NaN,0.1359658419040879,NaN,NaN,NaN,NaN
307.0,NaN,NaN,0.1359755341978921,NaN,NaN,NaN,NaN
308.0,NaN,NaN,0.1359852264916963,NaN,NaN,NaN,NaN
309.0,NaN,NaN,0.13599491878550052,NaN,NaN,NaN,NaN
310.0,NaN,NaN,0.13600461107930473,NaN,NaN,NaN,NaN
311.0,NaN,NaN,0.13601430337310894,NaN,NaN,NaN,NaN
312.0,NaN,NaN,0.13602399566691314,NaN,NaN,NaN,NaN
313.0,NaN,NaN,0.13603368796071735,NaN,NaN,NaN,NaN
