Time,cPOMh,cPOMo,cMOM,cDOM,cQOM,cMBA,cMBD,cEM,nPOMh,nPOMo,nMOM,nDOM,nQOM,nMBA,nMBD,nEM
2350.0,0.17862485898108,0.19997366423122628,1.3485825008608603,8.469536994536536e-5,1.385554812162215e-19,0.019586895855640673,0.01429036028083591,0.00013219819711968425,0.00037179670860268096,0.026099502446782552,0.13451830793982186,3.909036525671437e-6,0.019313957825208363,0.0041683920841092984,0.0038583729004523664,4.406606570656233e-5
2351.0,0.17925597542841953,0.20016224627577456,1.3487047402358476,8.56069204434196e-5,1.2780696109475626e-19,0.01947367774688462,0.014249896043155942,0.00013239498765686832,0.00037302012337470797,0.02610247576506239,0.13451899139744813,3.956271229205285e-6,0.019313957825208363,0.004185218619454586,0.003847468345068988,4.4131662552290356e-5
2352.0,0.179900605557686,0.2003534082152754,1.3488267932743605,8.638640997164182e-5,1.1804730575608463e-19,0.019364404417722626,0.014208903748903644,0.0001325783881818913,0.0003742708640388117,0.02610553838409737,0.13451967190641706,3.999714200451177e-6,0.019313957825208363,0.004201727837846951,0.003836421096231337,4.4192796060631334e-5
2353.0,0.1805555850626056,0.20054687238212862,1.3489494086670069,8.724849096688405e-5,1.0903292181353858e-19,0.01925536025510296,0.014167841583264748,0.00013275802598870846,0.00037554236834496394,0.026108659093875417,0.13452035487042163,4.043403235569267e-6,0.019313957825208363,0.004218001486325065,0.003825354862845424,4.425267532957043e-5
2354.0,0.18122045060759268,0.20074257200180443,1.3490725870122544,8.808261910625053e-5,1.0070689850186992e-19,0.01914656817355919,0.014126717856985192,0.0001329339192113462,0.0003768337105296116,0.026111837871498598,0.13452103973668852,4.085488193584776e-6,0.019313957825208363,0.004234007523440611,0.00381427188841801,4.4311306403782985e-5
2355.0,0.1818949617565534,0.2009404655360507,1.34919633287428,8.890329928340936e-5,9.301667090248162e-20,0.019038044978376353,0.01408553861795878,0.00013310608656359984,0.00037814441060685805,0.02611507365836389,0.13452172649847816,4.126804307865564e-6,0.019313957825208363,0.004249695905619875,0.0038031738056273834,4.436869552120084e-5
2356.0,0.18257865695333697,0.20114046945067704,1.3493206505958975,8.969649524046797e-5,8.591368808383985e-20,0.018929813781739628,0.014044312422625384,0.0001332745472802015,0.00037947354633325713,0.026118364245220762,0.1345224151486526,4.1665846136018915e-6,0.019313957825208363,0.004265040331139869,0.0037920629245232662,4.4424849093401404e-5
2357.0,0.18327129754856286,0.20134254221559275,1.3494455442918172,9.047618710356386e-5,7.935310658350387e-20,0.018822338243491846,0.014003044780647149,0.0001334393220077188,0.00038082064124905757,0.026121708572854903,0.134523105679666,4.2055959863240905e-6,0.019313957825208363,0.004280056581723926,0.003780940732797932,4.447977400257382e-5
2358.0,0.18397242354202278,0.2015466002931179,1.3495710179146874,9.122836248836187e-5,7.329350729662553e-20,0.018732518348858227,0.013961743901847998,0.0001336006612233105,0.00038218477618154995,0.026125104429880433,0.134523798083942,4.243071664345724e-6,0.019313957825208363,0.004294773918912703,0.003769809446774672,4.453355374110441e-5
2359.0,0.18468467012634748,0.20175297951047508,1.349696265314662,9.185380449467674e-5,6.778298993850165e-20,0.01875008887513183,0.013919987732879864,0.0001337515623049799,0.0003835714524940654,0.02612860179440241,0.13452448144276097,4.277583841338114e-6,0.019313957825208363,0.004309271327914933,0.003758555107151106,4.458385410166086e-5
