Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
75.0,8.140730952003625e-6,6.689924811691904e-5,4.907140771727217e-9,0.0,6.116839892847708e-8
76.0,8.259564642471917e-6,6.787580471732248e-5,4.881117585584539e-9,0.0,6.05399017776682e-8
77.0,8.378746643582983e-6,6.885522367987122e-5,4.855215539246631e-9,0.0,6.053577498381978e-8
78.0,8.4981892277069e-6,6.983678407268403e-5,4.829471215564945e-9,0.0,6.021939236406944e-8
79.0,8.61783682292601e-6,7.082002921447143e-5,4.8039111892084795e-9,0.0,5.97430068879443e-8
80.0,8.737683655919293e-6,7.180491166098827e-5,4.778544265200541e-9,0.0,5.9260887779376916e-8
81.0,8.85761851989422e-6,7.279051753228325e-5,4.753418204227254e-9,0.0,5.860219541035303e-8
82.0,8.977259545031489e-6,7.377370868217018e-5,4.728684735433905e-9,0.0,5.756162501278888e-8
83.0,9.094757944002804e-6,7.473929206681555e-5,4.705063423430856e-9,0.0,5.562536254197019e-8
84.0,9.210424796512814e-6,7.568982409036382e-5,4.682453754417497e-9,0.0,5.4591392284423256e-8
85.0,9.324985568934941e-6,7.663126652150664e-5,4.6605795912197825e-9,0.0,5.397988752160175e-8
86.0,9.4381167909658e-6,7.756096113210546e-5,4.639566112135404e-9,0.0,5.335126615824651e-8
87.0,9.548014188568539e-6,7.846408068156307e-5,4.620112945757572e-9,0.0,5.2438396621098214e-8
88.0,9.649295834042419e-6,7.92963973334946e-5,4.604309306552056e-9,0.0,5.0879329590532303e-8
89.0,9.7508328335568e-6,8.013081244481678e-5,4.588712961007959e-9,0.0,5.0751856918671305e-8
90.0,9.853004442264257e-6,8.097044267479541e-5,4.573170772849821e-9,0.0,5.062523739309765e-8
91.0,9.959848553544038e-6,8.184847079689894e-5,4.556115152083094e-9,0.0,5.10880286117677e-8
92.0,1.0073697361852714e-5,8.278406241880152e-5,4.536644523166484e-9,0.0,5.204934872565385e-8
93.0,1.0188383951818889e-5,8.372653879875633e-5,4.517154352954798e-9,0.0,5.192116881133041e-8
94.0,1.0303766332968096e-5,8.467473308134982e-5,4.497749705222823e-9,0.0,5.1794434581575535e-8
95.0,1.0422307985433014e-5,8.564888975931845e-5,4.477554060033673e-9,0.0,5.217159662939918e-8
96.0,1.0887622702796068e-5,9.16850327330982e-5,4.456416224614639e-9,0.0,5.387031879298304e-8
97.0,1.1018560302238195e-5,9.27876626109467e-5,4.435633029301703e-9,0.0,5.3508031903217945e-8
98.0,1.1514697329923246e-5,9.935324361492764e-5,4.414964797719666e-9,0.0,5.450585424578784e-8
99.0,1.2424335212438152e-5,0.00011246440177684278,4.394401871355214e-9,0.0,5.665566817237569e-8
100.0,1.259152318911361e-5,0.0001139777781836756,4.3746282993146785e-9,0.0,5.6017787439321083e-8
101.0,1.2753836473705678e-5,0.00011544702914478993,4.3588622632041884e-9,0.0,5.389718332308102e-8
102.0,1.3335495846851505e-5,0.00012359513237629257,4.344103038842567e-9,0.0,5.456109046971963e-8
103.0,1.3969486019362562e-5,0.00013260725704034121,4.328664616615672e-9,0.0,5.5907864851563994e-8
104.0,1.4636613949272704e-5,0.00014223141894024937,4.315721746748378e-9,0.0,5.590020693738442e-8
105.0,1.487841328844923e-5,0.00014458110604883098,4.3038448329848206e-9,0.0,5.5439479661979715e-8
106.0,1.4673656837628248e-5,0.00013929169486207903,4.291136923899871e-9,0.0,5.4608134702699226e-8
107.0,1.4940621290313663e-5,0.00014182589144947104,4.280279994221791e-9,0.0,5.3802092364013326e-8
108.0,1.5236700331816446e-5,0.00014463646225403734,4.268605375161827e-9,0.0,5.408908334900892e-8
109.0,1.6591564523121172e-5,0.00016510252615287258,4.256046969869549e-9,0.0,5.660422990534452e-8
110.0,1.7001404849257846e-5,0.00016918084396733705,4.243515323510566e-9,0.0,5.653678474824844e-8
111.0,1.8002508260965075e-5,0.00018335224037113935,4.231069396442184e-9,0.0,5.7608043684684166e-8
112.0,1.8494893428288192e-5,0.0001883670928708861,4.2178889989661304e-9,0.0,5.791982482877897e-8
113.0,1.8938260056610063e-5,0.0001928827005534489,4.20568404276775e-9,0.0,5.751266577057513e-8
114.0,1.9021389218921575e-5,0.0001937293558044308,4.1938375651138385e-9,0.0,5.747897573755512e-8
115.0,1.8417792234032933e-5,0.000192052518914365,4.178553817380208e-9,0.0,6.10177281989888e-8
116.0,1.9315084528310953e-5,0.00020618980169977212,4.161276183135575e-9,0.0,6.509388391915996e-8
117.0,2.004184874818461e-5,0.00021891462402199463,4.14347715248459e-9,0.0,6.786648625524635e-8
118.0,2.0607736831277688e-5,0.0002303958615328454,4.125900463773193e-9,0.0,6.923346616098214e-8
119.0,2.0804047362564126e-5,0.00023259062626387894,4.108850123358963e-9,0.0,6.808053823839796e-8
120.0,2.12463448967632e-5,0.00024300554938836043,4.091812394279492e-9,0.0,7.006017448445278e-8
121.0,2.337501931736742e-5,0.00024943004003234395,4.087308570763833e-9,0.0,6.597178335709342e-8
122.0,2.3658971763611707e-5,0.00024238599553365835,4.080754846598771e-9,0.0,6.89586353698252e-8
123.0,2.326019699777755e-5,0.0002331564073240772,4.0710432580759085e-9,0.0,7.096823822889627e-8
124.0,2.3584281158094046e-5,0.00022864025550811004,4.056504957452319e-9,0.0,7.681170113557186e-8
125.0,2.3110532394395934e-5,0.0002173688148343348,4.0454796284478355e-9,0.0,7.354858892213371e-8
126.0,2.2624326693454206e-5,0.0002065290533761581,4.040829839029494e-9,0.0,6.987573358918043e-8
127.0,2.2972835686279067e-5,0.00020501288462130174,4.027310765489168e-9,0.0,7.84720313010331e-8
128.0,2.1865877774467513e-5,0.000192971340492553,4.01864663537764e-9,0.0,7.274111332614358e-8
129.0,2.2028977557197635e-5,0.0001865944792138122,4.014391891640329e-9,0.0,7.174270686961084e-8
130.0,2.219857399265656e-5,0.0001809272021630804,4.0132302198614245e-9,0.0,7.151939834421437e-8
131.0,2.227194014180628e-5,0.00017384554382743773,4.019512691697543e-9,0.0,6.864241166567861e-8
132.0,2.260796394174037e-5,0.00017349906690936355,4.016201284589259e-9,0.0,7.65754056066382e-8
133.0,2.1570094561200767e-5,0.00016635157168155316,4.0133814986715265e-9,0.0,7.475309022413224e-8
134.0,2.2337500345109738e-5,0.00016388714138691738,4.011677152108596e-9,0.0,7.72053527383893e-8
135.0,2.308224064233843e-5,0.00016093450443790494,4.0121709819417015e-9,0.0,7.89697443690589e-8
136.0,2.266978095828173e-5,0.00015719486061578774,4.010801582150865e-9,0.0,8.06405382458292e-8
137.0,2.178995980978403e-5,0.00015436967274237153,4.003684940286557e-9,0.0,8.361654235771608e-8
138.0,2.2414782098739015e-5,0.00015004112298657569,4.003109288090406e-9,0.0,8.197602581283263e-8
139.0,2.26546735328347e-5,0.00014867133671386682,4.0001380461230884e-9,0.0,8.59130476438815e-8
140.0,2.292386334446607e-5,0.00014797236829011494,3.993378438682609e-9,0.0,9.094370246180652e-8
141.0,2.199985651958612e-5,0.00014490494457981918,3.984746209852684e-9,0.0,9.125647124611434e-8
142.0,2.1656235963407546e-5,0.00014251796419639817,3.975637977863591e-9,0.0,9.209318299442426e-8
143.0,2.0726001526055694e-5,0.00013850505032577957,3.9681050161230545e-9,0.0,8.9114625369865e-8
144.0,1.992299433446951e-5,0.00013603967209239434,3.960070938672216e-9,0.0,8.830076568321556e-8
145.0,1.930213906492614e-5,0.00013612215916436674,3.9484762444805534e-9,0.0,9.158825692691301e-8
146.0,2.004272911656077e-5,0.0001359337670319455,3.936969560168799e-9,0.0,9.539260086016077e-8
147.0,2.0289156586356984e-5,0.0001351014131224239,3.925633578087677e-9,0.0,9.753666912947411e-8
148.0,2.0577600134567634e-5,0.00013517779169713054,3.9138386607900866e-9,0.0,1.0140208119309617e-7
149.0,2.0368669738806035e-5,0.00013486855711970674,3.901620508875632e-9,0.0,1.0373760599756381e-7
150.0,2.0193233252635073e-5,0.00013508832871506974,3.8890576432696775e-9,0.0,1.0693837602080715e-7
151.0,1.9468060885604884e-5,0.00013357244589270664,3.876461854905469e-9,0.0,1.0539178596862033e-7
152.0,1.9311438538129745e-5,0.0001338812298922604,3.8637386699939465e-9,0.0,1.0824901102513519e-7
153.0,1.873903233159367e-5,0.00013469400971784383,3.850747522160741e-9,0.0,1.1214001905359041e-7
154.0,1.809181962839218e-5,0.00013360625431761187,3.8377075717976265e-9,0.0,1.1046474666862262e-7
155.0,1.748624809675672e-5,0.0001326573044867813,3.824630817905606e-9,0.0,1.0884238026004028e-7
156.0,1.732573805353235e-5,0.0001322714096723309,3.8116106206615105e-9,0.0,1.0924285068493036e-7
157.0,1.71693920451306e-5,0.0001319381264034029,3.798648119823891e-9,0.0,1.0964619807611085e-7
158.0,1.6604882355610162e-5,0.0001312474516490948,3.785643532191079e-9,0.0,1.0799347268972282e-7
159.0,1.646520665421683e-5,0.00013103947026820028,3.7726885055316794e-9,0.0,1.0839205192862683e-7
160.0,1.6732819130321703e-5,0.00013125870158447932,3.759882636712676e-9,0.0,1.108669764076568e-7
161.0,1.6590790492538332e-5,0.0001311043477903308,3.747130351473486e-9,0.0,1.1128009144057097e-7
162.0,1.6850416824847705e-5,0.00013134499091676857,3.734522790422867e-9,0.0,1.1377800655648021e-7
163.0,1.6705020631549983e-5,0.0001312204849674414,3.7219666110418825e-9,0.0,1.1420500538505884e-7
164.0,1.6970920652791814e-5,0.00013148907874375288,3.709554677560902e-9,0.0,1.1680199991997265e-7
165.0,1.7653641686311995e-5,0.00013209748909503955,3.697385963300816e-9,0.0,1.2165326951907564e-7
166.0,1.7920036334216036e-5,0.00013233768006452848,3.6853667633100258e-9,0.0,1.2440018444504237e-7
167.0,1.8178516182059608e-5,0.00013257942226268756,3.673490552851353e-9,0.0,1.2716022383080263e-7
168.0,1.8000090223510023e-5,0.00013248000139406204,3.6616604835656336e-9,0.0,1.2764873212184475e-7
169.0,1.8263690591573203e-5,0.00013273244897408487,3.6499697124933003e-9,0.0,1.3051487191592257e-7
170.0,1.8080804968276697e-5,0.00013265339031858292,3.638323418216449e-9,0.0,1.3101611608121006e-7
171.0,1.7900254884082527e-5,0.00013257984847075009,3.6267173037323477e-9,0.0,1.3151727606165587e-7
172.0,1.7722219743484657e-5,0.0001325158048958394,3.6151510466818334e-9,0.0,1.320181590080086e-7
173.0,1.7546508614509705e-5,0.00013245849865617943,3.6036242314038116e-9,0.0,1.3251857551694338e-7
174.0,1.779151513269212e-5,0.00013269612554162337,3.592232040914143e-9,0.0,1.3543220098933157e-7
175.0,1.7609649807861403e-5,0.0001326233188862805,3.5808824343522154e-9,0.0,1.3594301089962355e-7
176.0,1.8289632004784014e-5,0.00013313848007338543,3.569763210165244e-9,0.0,1.414670771765821e-7
177.0,1.8091110524259172e-5,0.0001330446071179441,3.5586895498943447e-9,0.0,1.4200024467500412e-7
178.0,1.833567021347683e-5,0.00013323925129532548,3.5477500219472067e-9,0.0,1.4513537872040198e-7
179.0,1.8130805041939728e-5,0.00013313404194029415,3.5368519185483395e-9,0.0,1.4567764905031345e-7
180.0,1.749723940856864e-5,0.00013273208566212642,3.5258960688055815e-9,0.0,1.435943213680153e-7
181.0,1.7732176334175142e-5,0.00013288878015667175,3.515070933002493e-9,0.0,1.467514695747589e-7
182.0,1.7532905373477667e-5,0.00013274980066563835,3.5042883356070966e-9,0.0,1.4728592612303382e-7
183.0,1.6919463593739357e-5,0.00013231594280668364,3.4934494643359735e-9,0.0,1.451654070330783e-7
184.0,1.714481388495239e-5,0.00013242986786360904,3.4827417626279076e-9,0.0,1.4834212348188031e-7
185.0,1.6950372110147436e-5,0.00013224432349798613,3.472078107940343e-9,0.0,1.4886675611870708e-7
186.0,1.635598133226181e-5,0.00013176542215372037,3.461361944031915e-9,0.0,1.4670757806182348e-7
187.0,1.6174467877350424e-5,0.0001315486949967738,3.4506857137873287e-9,0.0,1.472120436571516e-7
188.0,1.638650815698543e-5,0.000131587155455022,3.4401473344547525e-9,0.0,1.504109113293892e-7
189.0,1.6197909876467573e-5,0.00013132938219868062,3.429656046966728e-9,0.0,1.5091944413068644e-7
190.0,1.6403440838350133e-5,0.0001313161073770385,3.4193069327468654e-9,0.0,1.541788642607861e-7
191.0,1.6599030334918064e-5,0.00013127729251223233,3.409074748389644e-9,0.0,1.5744404708451822e-7
192.0,1.639479538168948e-5,0.00013095614050827488,3.398887757856372e-9,0.0,1.5796273268017532e-7
193.0,1.6192023486921948e-5,0.00013060974099579587,3.388741755508805e-9,0.0,1.584758765386878e-7
194.0,1.6384284208028027e-5,0.0001305015793608805,3.3787313482856686e-9,0.0,1.618542581290691e-7
195.0,1.6566053522661987e-5,0.0001303664468463759,3.368857911682871e-9,0.0,1.652365046779194e-7
196.0,1.596064255651791e-5,0.0001296934159223102,3.3589397992011933e-9,0.0,1.628790567205698e-7
197.0,1.575409563383237e-5,0.00012925271651426958,3.3490626532992637e-9,0.0,1.6337995901186342e-7
198.0,1.5549444766568034e-5,0.00012879133414952238,3.339230361974618e-9,0.0,1.6387412327651576e-7
199.0,1.4627627223200865e-5,0.00012778688020173988,3.3292636041508734e-9,0.0,1.586222885309516e-7
200.0,1.4445630793537978e-5,0.00012727940927921897,3.3193374199517302e-9,0.0,1.5907922653824025e-7
201.0,1.460674177449238e-5,0.00012699681190607087,3.309548503131557e-9,0.0,1.6236894916479795e-7
202.0,1.4770890104100277e-5,0.00012669438954945883,3.299901333928399e-9,0.0,1.6576317037621223e-7
203.0,1.4226503085815347e-5,0.000125853377808709,3.2902165536757458e-9,0.0,1.632726216069625e-7
204.0,1.3712940608970194e-5,0.00012498971821043762,3.2804902704186095e-9,0.0,1.6084815937510571e-7
205.0,1.3217300642271758e-5,0.00012410801504338356,3.2707215456306324e-9,0.0,1.5838640164692803e-7
206.0,1.3051510191554264e-5,0.00012344637359566822,3.2610015623124336e-9,0.0,1.5878848612207878e-7
207.0,1.2887249614532722e-5,0.00012276855032625667,3.2513353568151264e-9,0.0,1.5918285681553413e-7
208.0,1.2723840212927096e-5,0.00012206035554791973,3.241723210105089e-9,0.0,1.595693143026928e-7
209.0,1.2561922239480618e-5,0.00012133567216167688,3.232165053661713e-9,0.0,1.5994777031734003e-7
210.0,1.2400810875281597e-5,0.00012058033270678216,3.2226660410178306e-9,0.0,1.6031802897882536e-7
211.0,1.1953174882960034e-5,0.00011954283097817638,3.213134991938484e-9,0.0,1.5779741724244076e-7
212.0,1.180185003298218e-5,0.00011874144830701005,3.2036754519089294e-9,0.0,1.5814156781599753e-7
213.0,1.1603373907776969e-5,0.00011684126732121069,3.194350712022613e-9,0.0,1.537953110050785e-7
214.0,1.1392997365397599e-5,0.00011463509295669486,3.1852224275049554e-9,0.0,1.497735750956963e-7
215.0,1.1045660447613164e-5,0.00010950521843993452,3.1776497876278443e-9,0.0,1.3760528501306662e-7
216.0,1.052787685245861e-5,0.00010580786930728952,3.1729724078706744e-9,0.0,1.28220182600422e-7
217.0,1.0574496872226168e-5,0.00010420262617256495,3.169868033613388e-9,0.0,1.281450251281429e-7
218.0,1.0461016205142675e-5,0.00010402338769319095,3.16590375358116e-9,0.0,1.3016987703653156e-7
219.0,1.0390076535198779e-5,0.00010462931280254254,3.1600670986448e-9,0.0,1.3444388337183342e-7
220.0,1.048575938086469e-5,0.00010392416095809648,3.1542477364844462e-9,0.0,1.371369462480479e-7
221.0,1.049839972039523e-5,0.00010170485809741771,3.1503355801239735e-9,0.0,1.3566547267639174e-7
222.0,1.0829920005989122e-5,0.00011051845158849114,3.1417704974788633e-9,0.0,1.6707541444111186e-7
223.0,1.0674254610183785e-5,0.00010944092894327508,3.1330348500628394e-9,0.0,1.6733166097051586e-7
224.0,1.0276714146211334e-5,0.00010809513126778504,3.1242832586494353e-9,0.0,1.6458299345262962e-7
225.0,1.0130018949829022e-5,0.0001069740940144784,3.1155948231802174e-9,0.0,1.6481177597345964e-7
226.0,1.0219196576889555e-5,0.00010607385039729375,3.10705843749939e-9,0.0,1.6803333681725742e-7
227.0,1.0067404869201867e-5,0.00010490583773264257,3.0985946780384035e-9,0.0,1.6824845701844894e-7
228.0,9.68949394919293e-6,0.00010347550179679325,3.0901174094255494e-9,0.0,1.6544266036919206e-7
229.0,9.7693610040505e-6,0.0001025056514333285,3.081796626697887e-9,0.0,1.6864416953705562e-7
230.0,9.40095017096156e-6,0.00010103437521797638,3.0734747388877198e-9,0.0,1.6581041940944512e-7
231.0,9.259149090462148e-6,9.978308714085027e-5,3.0652332157068834e-9,0.0,1.6597711992126563e-7
232.0,9.538110825805333e-6,9.887936038903032e-5,3.0572416826743474e-9,0.0,1.7086006200935992e-7
233.0,9.145815373451772e-6,9.6730844149153e-5,3.049292100489411e-9,0.0,1.6546611217693683e-7
234.0,8.894552582392839e-6,9.326984569405865e-5,3.041641232172066e-9,0.0,1.579521312417665e-7
235.0,8.714206060738107e-6,9.122962919386567e-5,3.034209879437792e-9,0.0,1.5558310787649843e-7
236.0,8.55626162037825e-6,8.960763843606467e-5,3.0269298758715088e-9,0.0,1.5463942129181596e-7
237.0,8.3803516224563e-6,8.761067182005932e-5,3.0199128050798942e-9,0.0,1.525165320736657e-7
238.0,7.907557644800524e-6,8.315760896845681e-5,3.014652008820457e-9,0.0,1.407064973656995e-7
239.0,7.715730131255866e-6,8.079441833071286e-5,3.010639684569256e-9,0.0,1.375510155396148e-7
240.0,7.514190647296982e-6,7.828727267908102e-5,3.0082086512882696e-9,0.0,1.3399498732083454e-7
241.0,7.231910595658998e-6,7.441570635108663e-5,3.0094611136919067e-9,0.0,1.26422204246376e-7
242.0,6.738987346474107e-6,6.945558792003588e-5,3.017146523743914e-9,0.0,1.1411193958394492e-7
243.0,6.4958745944466675e-6,6.860251294854484e-5,3.0239544324372184e-9,0.0,1.1376336455114713e-7
244.0,6.164849214534678e-6,6.396055211366662e-5,3.035419375743649e-9,0.0,1.0443467531667601e-7
245.0,6.203095974650552e-6,6.783167649012459e-5,3.038581408273816e-9,0.0,1.173983421090919e-7
246.0,6.0603523800464116e-6,6.830709481921789e-5,3.038244770137666e-9,0.0,1.2098341591398983e-7
247.0,5.9600977313610286e-6,6.725477609950633e-5,3.037301732039613e-9,0.0,1.2197985393512938e-7
248.0,6.463069862856384e-6,7.592062262718354e-5,3.0302771862795965e-9,0.0,1.5617094712499665e-7
249.0,6.487803079275716e-6,7.464587608816562e-5,3.023136402604515e-9,0.0,1.5934708555244169e-7
250.0,6.376721521372817e-6,7.329386100207509e-5,3.0160637420901677e-9,0.0,1.6119766481259975e-7
251.0,6.12029175626977e-6,7.146482359914924e-5,3.0090291821075106e-9,0.0,1.5822238864241136e-7
252.0,5.865351907754321e-6,6.939686712228336e-5,3.0020430637172596e-9,0.0,1.5349689504401464e-7
253.0,5.676248003277724e-6,6.625880017805886e-5,2.9953079075564664e-9,0.0,1.4763221047311208e-7
254.0,5.567804898125142e-6,6.275007828212324e-5,2.989148107201476e-9,0.0,1.4292698066153196e-7
255.0,5.7691819254694715e-6,6.517635865053622e-5,2.9826452637260853e-9,0.0,1.6076975230494997e-7
256.0,5.761241057940197e-6,6.368448935137135e-5,2.976313214296662e-9,0.0,1.6264411805485257e-7
257.0,5.597355028193688e-6,6.138571674627994e-5,2.970149120214219e-9,0.0,1.5971094313515858e-7
